program,num_cores,np,num_tasks_per_node,num_tasks_per_socket,N,P,M,KC,MC,ROW_BLOCK,COL_BLOCK,ALIGNMENT,exe_time,blas_exe_time,f_norm
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,240,10,16,64,0.161022,0.117655,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,240,10,16,64,0.158411,0.117845,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,240,240,10,16,64,1.045327,0.736928,1.802004643885e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,240,240,10,16,64,1.040854,0.728598,1.802004643885e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,240,240,10,16,64,1.039640,0.728887,1.802004643885e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,240,10,16,64,1.558036,1.073683,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,240,10,16,64,1.554568,1.071438,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,240,10,16,64,1.553883,1.080463,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,240,240,20,16,64,0.005298,0.146216,2.659299758319e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,240,240,20,16,64,0.005273,0.019773,2.659299758319e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,240,240,20,16,64,0.005629,0.019418,2.659299758319e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,240,240,20,16,64,0.115931,0.076245,1.795840225541e-16
